#{"t_start": 1763548203.1984408, "env_id": "HealthcareEnv-v0"}
r,l,t
-3050.0,77,5.033672
1000.0,90,5.102343
2565.0,90,5.18103
3025.0,90,5.257533
-2585.0,85,5.317472
-3275.0,88,5.410795
-520.0,90,5.472312
675.0,87,5.574401
220.0,90,5.670359
335.0,83,5.775285
685.0,90,5.836296
1420.0,90,5.903181
2435.0,90,5.972584
-585.0,86,6.076201
-940.0,90,6.137639
2240.0,90,6.210461
1445.0,90,6.28966
465.0,90,6.349689
-535.0,90,6.427413
-80.0,90,6.588922
75.0,90,6.649745
1730.0,90,6.723198
-150.0,90,6.788677
2335.0,90,10.473252
1600.0,76,10.541471
1200.0,90,10.615715
2155.0,90,10.704155
2325.0,90,10.78767
1705.0,77,10.839894
2080.0,90,10.919458
-655.0,90,10.990628
4045.0,90,11.072647
3070.0,90,11.154027
965.0,84,11.209806
1120.0,90,11.281729
2225.0,84,11.358413
3385.0,90,11.426722
1320.0,90,11.483538
2510.0,90,11.605257
2390.0,90,11.733374
3125.0,90,11.831272
2125.0,90,11.936125
3220.0,90,12.032191
3015.0,90,12.121549
1330.0,90,12.195512
1875.0,90,12.251602
2935.0,90,15.904272
3335.0,90,16.015718
3985.0,90,16.072417
2230.0,90,16.152056
3520.0,90,16.219419
480.0,85,16.288283
1995.0,90,16.377457
2580.0,90,16.482636
4240.0,90,16.550003
1855.0,90,16.62045
1705.0,90,17.081559
4645.0,90,17.153852
1955.0,83,17.214288
1725.0,90,17.290381
1375.0,90,17.505261
2555.0,90,17.585721
4130.0,90,17.663543
4165.0,90,17.727412
1830.0,90,17.793406
1935.0,85,17.857496
3745.0,90,17.932357
3365.0,90,18.005059
2090.0,90,18.08062
3860.0,90,21.581091
3955.0,85,21.677822
1060.0,85,21.754883
3870.0,89,21.822584
4610.0,90,21.891489
4445.0,90,21.965401
5320.0,90,22.055943
4760.0,90,22.136976
4280.0,89,22.216578
4620.0,86,22.320697
1375.0,87,22.389083
2570.0,90,22.465863
