#{"t_start": 1763548724.364412, "env_id": "HealthcareEnv-v0"}
r,l,t
2195.0,89,0.217055
2660.0,90,0.284626
1325.0,90,0.358619
540.0,90,0.43453
2005.0,81,0.505992
1260.0,90,0.563858
-385.0,90,0.63407
-105.0,90,0.748792
-100.0,82,0.822559
2810.0,90,0.910349
1885.0,90,0.972275
-1180.0,90,1.081174
-2325.0,90,1.213404
-1410.0,84,1.301665
385.0,90,1.387987
1190.0,89,1.468535
1920.0,90,1.539556
1325.0,90,1.603619
2080.0,90,1.690263
2125.0,90,1.76633
2715.0,90,1.839573
495.0,90,1.909425
-1475.0,90,1.983765
-3120.0,90,2.074937
65.0,90,2.167223
1225.0,89,2.283513
2675.0,90,2.389896
1300.0,90,2.496268
-1205.0,90,2.620685
1570.0,90,2.752916
1065.0,90,2.959913
910.0,90,3.07654
1130.0,90,3.210263
-1615.0,79,3.385326
665.0,90,3.537424
2020.0,90,3.625424
800.0,90,3.711674
3185.0,90,3.814694
2405.0,90,3.916567
2950.0,90,3.989895
2360.0,90,4.058987
-265.0,90,4.12745
1230.0,90,4.200011
-75.0,90,4.271493
3055.0,90,4.341338
1220.0,90,11.524948
1490.0,90,11.707124
1940.0,90,11.786064
590.0,90,11.913125
3805.0,90,12.000258
1545.0,90,12.067506
3040.0,87,12.136355
845.0,90,12.224391
1145.0,90,12.299867
3005.0,89,12.363271
1355.0,90,12.43676
3060.0,90,12.790033
2285.0,90,12.870368
1965.0,90,12.965377
915.0,90,13.067544
1815.0,90,13.141218
3265.0,90,13.216424
2470.0,90,13.306495
3515.0,90,13.37816
-2330.0,90,13.457586
2140.0,90,13.536252
1270.0,90,13.609299
1615.0,87,13.673689
-200.0,90,13.761966
1480.0,90,13.829391
3275.0,88,13.909575
2680.0,90,14.01876
1730.0,90,14.148244
-390.0,90,14.301399
3575.0,90,14.366706
3665.0,90,14.442583
895.0,90,14.501841
3100.0,90,14.587011
4175.0,90,14.676567
-535.0,90,14.753374
3490.0,90,14.838393
2510.0,90,14.917622
2245.0,90,15.015275
950.0,90,15.106908
-1830.0,90,15.196135
2630.0,90,15.287789
2295.0,87,15.388412
3220.0,90,15.461171
3300.0,90,15.533782
155.0,86,15.586773
2780.0,90,15.689175
1815.0,90,23.494482
4165.0,90,23.666611
2065.0,80,23.753434
2895.0,90,23.833714
3530.0,90,23.90184
295.0,82,24.00112
4395.0,90,24.093641
3170.0,90,24.168231
2530.0,90,24.241393
3255.0,90,24.305696
2055.0,90,24.394695
3135.0,87,24.477489
2755.0,90,24.557785
5225.0,90,24.627327
1910.0,81,24.702785
3085.0,89,24.810564
3815.0,90,24.892164
3055.0,90,24.966735
3715.0,90,25.041902
2125.0,90,25.109293
3210.0,90,25.180608
4370.0,90,25.549805
530.0,83,25.621156
4180.0,90,25.7049
-250.0,83,25.771996
110.0,90,25.859577
1280.0,90,25.997648
1320.0,89,26.105181
3960.0,90,26.169373
3020.0,90,26.252414
2630.0,90,26.323948
3440.0,89,26.41736
3025.0,90,26.49171
3940.0,90,26.573633
3430.0,90,26.661525
3195.0,90,26.787024
4450.0,90,26.896868
4530.0,90,27.144459
3730.0,90,27.279536
4450.0,90,27.348101
2005.0,90,27.416879
2350.0,90,27.502078
3420.0,90,27.563474
4995.0,90,27.63414
2215.0,90,27.723956
3065.0,90,27.798453
3015.0,90,35.39807
3000.0,90,35.573168
3745.0,90,35.664457
3130.0,90,35.734875
2610.0,75,35.786987
2825.0,90,35.858948
2230.0,90,35.933638
4305.0,90,36.011216
4010.0,90,36.095796
1835.0,83,36.161788
5095.0,90,36.243809
2810.0,90,36.333756
4580.0,90,36.417541
3540.0,90,36.499714
4935.0,90,36.573452
5205.0,90,36.682008
4090.0,90,36.763229
3915.0,90,36.823516
5065.0,90,36.899783
3735.0,87,36.9547
4330.0,83,37.033834
5180.0,90,37.104157
5590.0,90,37.169814
3020.0,90,37.264814
4310.0,90,37.346944
4675.0,80,37.405685
5015.0,90,37.489793
2485.0,90,37.563531
5340.0,90,37.633559
4340.0,90,37.711694
5255.0,90,37.849994
2400.0,87,38.236803
3425.0,85,38.30211
5050.0,90,38.373837
6250.0,90,38.446451
4035.0,90,38.522296
4485.0,90,38.583156
1850.0,88,38.649207
2730.0,90,38.721222
4990.0,90,38.793702
1895.0,89,38.891203
4705.0,90,38.995548
4480.0,90,39.060828
3730.0,90,39.126683
5345.0,90,39.199585
6555.0,90,39.287835
4630.0,90,46.010753
5675.0,90,46.166635
2880.0,90,46.233658
4540.0,90,46.315821
5265.0,90,46.389505
5185.0,90,46.454355
5955.0,90,46.535847
5980.0,90,46.617542
5505.0,90,46.694633
5075.0,90,46.749974
3605.0,90,46.834977
5190.0,90,46.900348
5540.0,90,46.971212
4815.0,90,47.050967
5400.0,90,47.183945
4195.0,85,47.266579
4435.0,90,47.334069
6455.0,90,47.406323
4510.0,90,47.4666
4465.0,90,47.544083
4040.0,90,47.617742
4860.0,90,47.691371
4055.0,90,47.784842
6710.0,90,47.862054
4880.0,88,47.951885
3950.0,84,48.024158
5270.0,90,48.103529
5430.0,90,48.174859
4610.0,89,48.287862
4450.0,90,48.3891
4610.0,90,48.46495
4765.0,90,48.533766
6125.0,90,48.598918
4955.0,90,48.677958
5510.0,90,48.752532
4025.0,90,48.816842
5700.0,90,48.883912
5230.0,90,48.940938
5245.0,90,49.021988
5260.0,87,49.095174
5450.0,89,49.166506
5105.0,90,49.584119
4675.0,90,49.665097
3980.0,90,49.736004
4250.0,90,49.816485
3485.0,90,49.874781
5075.0,90,56.666727
6905.0,90,56.794453
6695.0,90,56.866857
5715.0,90,56.944168
5355.0,90,57.016712
4870.0,90,57.08731
6195.0,90,57.152501
4510.0,90,57.21827
3610.0,90,57.266204
5990.0,90,57.357792
4010.0,90,57.422903
5190.0,89,57.49904
5925.0,90,57.6024
5520.0,90,57.679809
6940.0,90,57.746598
3750.0,90,57.80844
4635.0,90,57.872619
6965.0,90,57.941802
6105.0,90,58.02211
5085.0,76,58.084094
5000.0,89,58.152301
5040.0,90,58.240566
7160.0,90,58.317644
5915.0,90,58.386368
5910.0,90,58.458403
5585.0,90,58.534373
7135.0,90,58.603988
5735.0,90,58.685166
7070.0,90,58.829478
5145.0,90,58.900025
6415.0,90,58.997536
5640.0,90,59.046715
6390.0,90,59.134508
5335.0,90,59.205173
5205.0,86,59.262987
5975.0,90,59.343967
5460.0,90,59.423712
5380.0,87,59.492552
6005.0,90,59.661772
6485.0,90,59.720388
4435.0,90,59.794074
6660.0,90,59.891996
5590.0,90,59.98539
6000.0,90,60.048036
6165.0,90,60.119806
6235.0,90,60.194985
5785.0,90,67.079319
6815.0,90,67.194333
5930.0,89,67.385883
