#{"t_start": 1763549311.6716387, "env_id": "HealthcareEnv-v0"}
r,l,t
125.0,90,0.214284
1430.0,90,0.278491
840.0,90,0.349678
-665.0,90,0.456485
410.0,90,0.536433
805.0,90,0.60633
1620.0,90,0.68448
1055.0,87,0.766298
1365.0,90,0.814658
-2855.0,90,0.909293
-3615.0,79,0.9842
1985.0,90,1.059798
225.0,90,1.126663
715.0,89,1.207054
2700.0,90,1.277289
-1865.0,90,1.34509
1295.0,90,1.433143
2235.0,90,1.570271
790.0,90,1.627863
630.0,87,1.707042
1005.0,90,1.764583
550.0,83,1.833735
1740.0,90,1.914858
1390.0,90,5.376869
5040.0,90,5.453978
1815.0,90,5.526641
2115.0,90,5.610563
3880.0,90,5.679823
-2010.0,90,5.777852
2675.0,90,5.844194
-490.0,90,5.926745
4365.0,90,5.997062
3620.0,90,6.060539
2680.0,90,6.134419
-1115.0,89,6.231624
3050.0,90,6.312789
-460.0,90,6.377855
2510.0,90,6.443797
3295.0,90,6.517131
1785.0,90,6.597598
3795.0,90,6.663348
1015.0,90,6.738346
3245.0,90,6.810648
2980.0,90,6.878088
4440.0,90,6.959602
675.0,90,10.414835
3730.0,90,10.579108
3065.0,90,10.650309
4075.0,90,10.713453
655.0,90,10.787387
3115.0,90,10.898462
2215.0,90,10.991203
3105.0,89,11.060393
3875.0,90,11.127891
2550.0,89,11.209301
3650.0,90,11.618885
3470.0,90,11.716209
4640.0,90,11.814651
2405.0,90,11.90235
2325.0,90,12.038406
4435.0,90,12.112791
3480.0,90,12.190586
2860.0,90,12.27815
1665.0,90,12.411131
1520.0,90,12.478131
2000.0,90,12.542606
3440.0,90,12.620531
3440.0,90,12.710134
1770.0,90,16.340816
4825.0,90,16.485352
2790.0,86,16.544883
3715.0,90,16.627003
2625.0,90,16.684027
5360.0,90,16.779342
5125.0,90,16.872822
4585.0,90,16.943066
2905.0,90,17.01738
4375.0,90,17.080015
3950.0,90,17.183304
4290.0,90,17.25695
3190.0,90,17.31989
2880.0,90,17.395099
5010.0,90,17.476661
3665.0,90,17.555664
1725.0,86,17.619121
2945.0,77,17.677752
3050.0,90,17.742643
3715.0,90,17.829156
4845.0,90,17.97357
2255.0,90,18.094601
4335.0,90,18.170829
4660.0,90,21.656803
4445.0,90,21.77751
5650.0,90,21.851635
5200.0,90,21.923316
4860.0,90,21.979826
6825.0,90,22.059934
5675.0,90,22.135117
3765.0,79,22.195469
3950.0,90,22.270165
5575.0,90,22.350246
4655.0,90,22.398549
5585.0,90,22.499147
5035.0,85,22.571144
4785.0,90,22.642005
5105.0,90,22.766463
3605.0,90,22.835204
4920.0,90,22.901064
5710.0,90,22.974888
4730.0,90,23.043551
4340.0,82,23.093202
5310.0,90,23.683548
4275.0,90,23.744248
5680.0,90,23.853277
3545.0,90,27.287188
6370.0,90,27.43273
5965.0,90,27.519381
6635.0,90,27.590289
5710.0,90,27.649962
4755.0,90,27.726067
5615.0,90,27.79122
6690.0,90,27.861071
5190.0,90,27.942537
5345.0,88,28.003989
5715.0,87,28.065091
3395.0,90,28.143833
6250.0,90,28.210858
6280.0,90,28.292851
5210.0,90,28.377654
5245.0,85,28.446149
5490.0,87,28.528677
5635.0,90,28.628454
4885.0,90,28.68515
5325.0,89,28.769116
6425.0,88,28.843669
6665.0,90,28.919359
4550.0,90,28.999412
5525.0,90,32.484846
6995.0,90,32.630285
7255.0,90,32.697178
6350.0,90,32.759129
5685.0,90,32.836364
6710.0,90,32.901036
7255.0,87,32.973381
7360.0,90,33.052616
4420.0,90,33.115223
5195.0,90,33.190014
5285.0,90,33.297185
5135.0,90,33.393064
5665.0,90,33.465335
5925.0,89,33.526529
5980.0,90,33.604876
6135.0,90,33.666561
7075.0,90,33.741537
5680.0,90,33.814382
6790.0,90,33.887139
6630.0,90,33.967367
6195.0,90,34.042499
6070.0,90,34.108792
6230.0,90,34.177002
6835.0,90,37.784943
7290.0,90,37.901952
5735.0,90,37.976655
5760.0,90,38.04606
7920.0,90,38.142807
7955.0,90,38.21017
6490.0,83,38.265855
7380.0,90,38.634533
6170.0,90,38.699874
6755.0,90,38.781583
6200.0,90,38.846079
8065.0,90,38.927485
7145.0,90,38.996013
7110.0,90,39.060231
7815.0,90,39.137012
6700.0,90,39.221968
7330.0,90,39.305265
8860.0,90,39.366399
6570.0,90,39.432422
6740.0,90,39.499477
5750.0,90,39.582579
7925.0,90,39.654748
8040.0,90,39.72856
8095.0,90,43.226408
7240.0,90,43.326674
7145.0,90,43.393667
7620.0,90,43.446292
7940.0,90,43.52709
5025.0,90,43.576836
6530.0,90,43.665856
7630.0,90,43.742589
7650.0,90,43.797441
8635.0,90,43.88628
8015.0,90,44.064453
7165.0,90,44.126623
7785.0,90,44.194385
8905.0,90,44.267927
7495.0,90,44.341449
7190.0,90,44.426538
7830.0,90,44.496895
7550.0,90,44.565171
6005.0,90,44.635072
7560.0,90,44.710731
6515.0,90,44.778308
7185.0,90,44.864072
7415.0,90,48.345545
7885.0,90,48.542682
7730.0,90,48.602814
7465.0,90,48.697927
9015.0,90,48.80313
7645.0,90,48.870637
6805.0,90,48.932254
8505.0,90,49.009396
8830.0,90,49.07537
7570.0,90,49.145679
6215.0,90,49.21987
7360.0,90,49.28247
8780.0,90,49.362897
9725.0,90,49.423939
7450.0,90,49.497062
7340.0,90,49.572581
6100.0,90,49.636815
6550.0,90,49.709084
8670.0,90,50.235427
8975.0,90,50.311403
7455.0,90,50.374174
7035.0,90,50.446962
7315.0,90,50.538805
7940.0,90,54.06941
7285.0,90,54.215905
6875.0,90,54.28904
7345.0,90,54.375268
7905.0,90,54.448303
9675.0,90,54.516382
9370.0,90,54.601058
5975.0,90,54.690248
7450.0,90,54.762294
8715.0,90,54.836914
7920.0,90,54.910982
8270.0,90,54.980197
8145.0,90,55.059181
7070.0,90,55.126751
7735.0,90,55.195793
9565.0,90,55.26814
6110.0,90,55.331484
8485.0,90,55.40783
8305.0,90,55.478709
8615.0,90,55.548732
7950.0,90,55.62648
7785.0,90,55.692665
7995.0,90,55.819683
8400.0,90,59.461161
8700.0,90,59.578165
7730.0,90,59.649835
8175.0,90,59.722835
9010.0,90,59.788972
8275.0,90,59.860345
7100.0,90,59.927598
6335.0,90,60.009293
8620.0,90,60.080221
8315.0,90,60.145996
8510.0,90,60.215423
6980.0,90,60.280276
6705.0,90,60.355442
8835.0,90,60.426603
9625.0,90,60.55035
8460.0,90,60.628228
8080.0,90,60.70929
9935.0,90,60.786969
6650.0,90,60.841731
7195.0,90,60.912909
8345.0,90,60.979954
7775.0,90,61.050035
8370.0,90,61.126999
10570.0,90,64.415634
8860.0,90,64.540555
7180.0,90,64.648912
9310.0,90,64.726368
8165.0,90,65.165062
9485.0,90,65.284954
6220.0,90,65.34267
7430.0,90,65.423191
9075.0,90,65.47722
7065.0,90,65.561407
7760.0,90,65.632702
8895.0,90,65.698136
8680.0,90,65.778538
8625.0,90,65.841132
8020.0,90,65.915139
7455.0,90,65.998113
8700.0,90,66.06534
9115.0,90,66.146739
7785.0,90,66.210263
8060.0,90,66.287221
8810.0,90,66.403315
9125.0,90,66.476866
7635.0,90,69.602212
9325.0,90,69.823466
8305.0,90,69.966649
6870.0,90,70.094618
8425.0,90,70.160587
7895.0,90,70.228488
7520.0,90,70.304555
9235.0,90,70.37331
8505.0,90,70.446751
8365.0,90,70.527313
8165.0,90,70.599236
7205.0,90,70.676575
8370.0,90,70.748689
9180.0,90,70.822249
9000.0,90,70.882706
8680.0,90,70.967427
7920.0,90,71.058626
8850.0,90,71.159783
5735.0,90,71.226692
8950.0,90,71.291352
6810.0,90,71.364682
6805.0,90,71.435159
8670.0,90,71.577048
6165.0,90,74.723793
9485.0,90,74.877085
7445.0,90,74.941461
8655.0,90,75.008687
8405.0,90,75.080863
8790.0,90,75.195823
7930.0,90,75.292618
7945.0,90,75.423926
8480.0,90,75.48629
6795.0,90,75.560045
8335.0,90,75.63276
8065.0,90,75.702437
8285.0,90,75.786525
7125.0,90,75.881028
8425.0,90,75.960594
8665.0,90,76.317851
8750.0,90,76.399185
8640.0,90,76.46841
7565.0,90,76.547095
8190.0,90,76.613224
8610.0,90,76.676553
7990.0,90,76.762479
8010.0,90,76.842529
8145.0,90,80.377838
8500.0,90,80.563945
7600.0,90,80.682739
8880.0,90,80.833253
8680.0,90,80.904447
9350.0,90,80.969791
7295.0,90,81.112415
6785.0,90,81.176721
8760.0,90,81.235861
8275.0,90,81.345471
9170.0,90,81.423604
6095.0,90,81.490538
8585.0,90,81.554532
9285.0,90,81.628392
8130.0,90,81.700994
9820.0,90,81.818563
7080.0,90,81.902009
9020.0,90,81.980863
9220.0,90,82.042325
8745.0,90,82.115963
8590.0,90,82.20333
8590.0,90,82.253525
9585.0,90,82.342858
8030.0,90,85.713646
9185.0,90,85.818577
8210.0,90,85.911259
9580.0,90,86.013334
9555.0,90,86.115876
6705.0,90,86.222753
8070.0,90,86.292763
8595.0,90,86.374158
8830.0,90,86.455691
8380.0,90,86.592656
9040.0,90,86.671636
8470.0,90,86.751454
7820.0,90,86.799363
9825.0,90,86.888925
8765.0,90,86.960906
9000.0,90,87.017287
7010.0,90,87.09846
8430.0,90,87.149257
7240.0,90,87.219842
7575.0,90,87.298781
8075.0,90,87.350263
8770.0,90,87.438182
9005.0,90,90.845095
7995.0,90,91.031388
8295.0,90,91.101843
8290.0,90,91.775648
8100.0,90,91.877321
9370.0,90,91.973703
7980.0,90,92.056436
8600.0,90,92.126804
8030.0,90,92.221542
10455.0,90,92.329656
8385.0,90,92.416994
8820.0,90,92.518735
7650.0,90,92.578659
7370.0,90,92.645727
9065.0,90,92.714132
7830.0,90,92.776371
9815.0,90,92.849079
8950.0,90,92.921104
8270.0,90,92.986072
5635.0,90,93.059272
9320.0,90,93.124071
9580.0,90,93.195262
6765.0,90,93.275889
6995.0,90,96.584851
10395.0,90,96.777179
6815.0,90,96.862658
9955.0,90,97.001127
8270.0,90,97.065013
9175.0,90,97.238762
9365.0,90,97.368859
9860.0,90,97.459341
8390.0,90,97.522787
7220.0,90,97.592634
9190.0,90,97.671719
9160.0,90,97.732851
6990.0,90,97.809369
9495.0,90,97.881141
8800.0,90,97.950006
7460.0,90,98.02724
8460.0,90,98.098086
9865.0,90,98.160674
8000.0,90,98.242639
9470.0,90,98.372523
9575.0,90,98.449508
7510.0,90,98.52193
8720.0,90,98.587675
10055.0,90,101.870864
8150.0,90,102.017012
8440.0,90,102.13569
8545.0,90,102.243021
8660.0,90,102.376619
8025.0,90,102.447566
8850.0,90,102.526928
8565.0,90,102.593643
9245.0,90,102.664747
7115.0,90,102.735636
8820.0,90,102.790368
7725.0,90,102.871477
10360.0,90,103.319697
7675.0,90,103.37834
8735.0,90,103.456823
6430.0,90,103.529574
9510.0,90,103.595207
