#{"t_start": 1763549446.4643722, "env_id": "HealthcareEnv-v0"}
r,l,t
-140.0,90,0.239427
1155.0,90,0.340115
1325.0,82,0.417315
-2000.0,90,0.484289
-525.0,90,0.582293
1900.0,90,0.666653
950.0,90,0.749899
1140.0,90,0.828175
-380.0,90,0.890017
-760.0,90,0.973174
-2260.0,90,1.041239
2380.0,90,1.111003
-695.0,90,1.18766
3445.0,90,1.252856
1705.0,90,1.334432
-220.0,90,1.453695
-355.0,90,1.515768
470.0,90,1.595499
3730.0,90,1.700003
680.0,90,1.767442
1695.0,90,1.839946
1795.0,90,1.977594
65.0,83,5.249903
2055.0,90,5.458442
2290.0,90,5.582998
3560.0,90,5.640136
3870.0,90,5.743839
3785.0,90,5.818187
2160.0,86,5.890017
2060.0,90,5.974882
2895.0,90,6.072637
800.0,90,6.173577
-500.0,90,6.236001
-1695.0,90,6.318064
2880.0,90,6.388548
2220.0,90,6.449682
2670.0,90,6.536331
1775.0,90,6.60138
2790.0,90,6.669386
3260.0,90,6.750753
2375.0,90,6.833387
3270.0,90,6.905482
1940.0,82,6.966143
3310.0,90,7.034376
645.0,84,7.104004
2470.0,90,10.797123
3720.0,90,11.032875
2470.0,86,11.12082
400.0,90,11.184031
1150.0,90,11.262781
1365.0,90,11.343879
2990.0,90,11.422199
3905.0,90,11.494345
3375.0,90,11.568657
4465.0,90,11.655354
2940.0,90,12.069026
4545.0,90,12.148993
4755.0,90,12.221706
3570.0,90,12.283718
3105.0,90,12.360324
5235.0,90,12.45153
2885.0,88,12.543305
4480.0,90,12.5926
3025.0,90,12.706132
3750.0,90,12.78497
3235.0,90,12.85265
4790.0,90,12.939544
2880.0,90,13.059308
2525.0,90,16.891639
3520.0,90,17.056426
4750.0,90,17.124255
3765.0,90,17.218
4190.0,90,17.296019
920.0,84,17.360284
2745.0,90,17.442588
3710.0,90,17.506542
1500.0,90,17.584198
4610.0,90,17.659786
4845.0,90,17.763863
4310.0,90,17.826795
2790.0,90,17.899996
4455.0,90,18.007318
3815.0,90,18.083638
4025.0,90,18.150517
275.0,90,18.21499
3040.0,90,18.287561
4680.0,90,18.353845
4465.0,90,18.434243
3785.0,90,18.491619
2025.0,87,18.579071
3205.0,90,18.643847
2480.0,89,22.149197
5130.0,90,22.336386
4820.0,90,22.400258
3895.0,90,22.473341
3670.0,90,22.540745
5785.0,90,22.609942
3975.0,90,22.708056
3030.0,86,22.796133
5365.0,90,22.852698
3725.0,90,22.935159
4805.0,90,23.003303
4525.0,90,23.057871
2395.0,90,23.139189
5075.0,90,23.211487
5775.0,90,23.269137
4380.0,89,23.357883
2405.0,90,23.414471
5800.0,90,23.491852
4885.0,90,23.573523
3060.0,90,23.633835
5645.0,90,24.051897
4320.0,87,24.117555
4555.0,90,24.18816
3595.0,88,27.593546
5945.0,90,27.706661
5635.0,84,27.784203
4340.0,90,27.85157
5360.0,90,27.931258
4520.0,90,28.003597
3570.0,81,28.063032
6540.0,90,28.135035
5720.0,90,28.200187
6040.0,90,28.274554
5360.0,90,28.350638
6095.0,90,28.547502
5275.0,90,28.672225
6120.0,90,28.760698
5955.0,90,28.839404
5660.0,90,28.916585
5865.0,90,28.989464
5885.0,90,29.058764
5910.0,90,29.128944
4365.0,90,29.199878
4560.0,88,29.274385
6310.0,90,29.350208
6055.0,90,29.433204
4145.0,90,33.049992
5525.0,90,33.175049
6620.0,82,33.239934
4280.0,90,33.316577
5055.0,90,33.41941
4290.0,90,33.500014
7075.0,90,33.578754
5800.0,90,33.649773
3725.0,90,33.724446
5205.0,90,33.797997
5775.0,90,33.858761
4255.0,90,33.95357
5515.0,90,34.042363
6705.0,90,34.10602
6815.0,90,34.172369
6320.0,90,34.252084
5165.0,90,34.299398
5405.0,90,34.398726
5180.0,90,34.512873
6250.0,87,34.584299
6100.0,90,34.657142
6020.0,90,34.726164
5975.0,90,34.806186
6275.0,90,38.154709
7115.0,90,38.289925
5655.0,90,38.39049
7810.0,90,38.523882
6180.0,90,38.599983
7745.0,90,38.671599
4215.0,90,38.737096
5305.0,90,39.205811
6000.0,90,39.290876
6255.0,89,39.363114
7060.0,90,39.435366
6700.0,90,39.490566
7175.0,90,39.567659
6005.0,90,39.638106
6845.0,90,39.724473
7880.0,90,39.796456
6265.0,90,39.864913
6970.0,90,39.959244
5825.0,90,40.023217
7845.0,90,40.086483
5760.0,90,40.172373
6290.0,90,40.233649
6905.0,90,40.390352
5790.0,90,43.707075
7340.0,90,43.810831
8255.0,90,44.059551
7435.0,90,44.188447
4810.0,90,44.259422
8205.0,90,44.333203
7370.0,90,44.424405
6890.0,90,44.502929
6000.0,90,44.56962
6720.0,90,44.637311
7390.0,90,44.719721
7005.0,90,44.784102
7330.0,90,44.864282
6155.0,90,44.941118
7170.0,90,45.005819
6525.0,90,45.099471
6980.0,90,45.21057
8060.0,90,45.26738
5780.0,90,45.339181
6930.0,90,45.407537
5800.0,90,45.474059
5105.0,90,45.550417
8225.0,90,48.885969
5235.0,90,49.082242
6605.0,90,49.183715
7285.0,90,49.320166
7045.0,90,49.399939
6550.0,90,49.56663
8190.0,90,49.645178
6355.0,90,49.714631
7800.0,90,49.783971
7385.0,90,49.913605
7720.0,90,50.001755
6095.0,90,50.073594
6260.0,90,50.149863
