#{"t_start": 1763550533.8574214, "env_id": "HealthcareEnv-v0"}
r,l,t
1460.0,89,0.566875
6945.0,90,1.203661
6320.0,90,1.71001
7975.0,90,2.21688
7160.0,90,2.734958
7090.0,90,3.300803
8220.0,90,3.825263
9300.0,90,4.303666
7400.0,90,4.795475
7600.0,90,5.240451
7435.0,90,5.7566
5590.0,90,6.373624
7620.0,90,6.992808
7280.0,90,7.425745
6705.0,87,7.972676
6715.0,77,8.394195
7805.0,90,8.918163
7350.0,90,9.289255
8015.0,90,9.740947
7145.0,90,10.258675
8025.0,90,10.645312
5380.0,90,11.164507
8070.0,90,11.667142
5990.0,90,12.22396
6150.0,90,12.710225
3965.0,90,13.208666
6710.0,90,13.687397
5180.0,90,14.152579
7170.0,90,14.689241
5955.0,90,15.095238
7115.0,90,15.47318
6535.0,77,15.892631
6020.0,75,16.24794
7320.0,90,16.754564
7535.0,90,17.291208
8135.0,78,17.764359
7060.0,82,18.235072
7655.0,90,18.734132
5170.0,90,19.235343
8040.0,90,19.763617
8555.0,90,20.292275
8980.0,90,20.893147
6280.0,90,21.410716
8300.0,90,21.935753
7815.0,90,22.42787
7700.0,90,23.067397
7030.0,90,23.563384
6640.0,90,23.965424
6410.0,90,24.499194
7795.0,81,24.960776
6010.0,90,25.465794
9280.0,90,25.979987
6960.0,90,26.497995
8510.0,90,26.924521
7250.0,90,27.348262
5520.0,90,27.853276
7715.0,90,29.221244
7990.0,90,29.698842
6790.0,73,30.135733
6075.0,77,30.518107
7300.0,90,31.018634
7370.0,90,31.517295
8680.0,90,32.046284
8600.0,90,32.590619
6290.0,90,32.999841
8910.0,86,33.453326
8000.0,90,33.970683
7020.0,90,34.609493
6320.0,90,35.124347
7440.0,75,35.542229
7290.0,81,36.003501
7580.0,90,36.437467
6880.0,62,36.804594
8810.0,86,37.291122
7475.0,90,37.842706
8485.0,90,38.388566
4340.0,74,38.807474
6355.0,78,39.270862
7430.0,81,39.76837
8445.0,90,40.301715
9080.0,86,40.855134
6820.0,65,41.223913
8455.0,90,41.750652
7985.0,74,42.182319
8070.0,90,42.68507
7930.0,90,43.144169
8255.0,90,43.681291
7230.0,90,44.196678
6230.0,82,44.585919
7580.0,77,45.018171
7360.0,90,45.576675
7990.0,89,46.141962
7360.0,90,46.640196
7775.0,90,47.13036
8420.0,85,47.513537
7120.0,74,47.898918
7835.0,90,48.346975
9620.0,90,48.825562
8930.0,89,49.336822
7865.0,89,49.738193
7780.0,70,50.126542
9025.0,90,50.65439
9125.0,90,51.209368
7160.0,82,51.708407
6865.0,83,52.135837
6630.0,90,52.651033
7100.0,82,53.096324
7430.0,74,53.407897
7830.0,90,53.845007
8270.0,90,54.307149
7940.0,90,54.826778
8820.0,90,55.283216
8220.0,90,55.802382
7780.0,90,56.338548
7910.0,84,56.84336
8450.0,90,58.23174
6420.0,71,58.594663
7270.0,84,59.042621
8305.0,74,59.491883
8780.0,90,60.007958
7040.0,63,60.297974
7825.0,84,60.790673
6910.0,82,61.26596
8515.0,90,61.821275
6295.0,64,62.240941
5530.0,80,62.701366
8980.0,90,63.200839
8050.0,90,63.702535
8500.0,90,64.302548
9020.0,90,64.811061
7915.0,90,65.328086
8210.0,90,65.840587
8930.0,90,66.242746
7810.0,87,66.69859
8370.0,87,67.173624
7270.0,81,67.731956
8105.0,90,68.265082
7630.0,78,68.683959
7760.0,71,69.078687
7290.0,71,69.521649
8765.0,90,70.059497
8625.0,75,70.537044
8610.0,88,71.100362
8510.0,90,71.652555
9200.0,90,72.146515
7875.0,90,72.691203
9235.0,88,73.238659
7090.0,68,73.637859
7650.0,90,74.152236
8390.0,79,74.514254
7040.0,86,75.007127
8325.0,87,75.520434
8470.0,89,76.02733
7085.0,80,76.387347
8130.0,90,76.890268
6995.0,82,77.320213
7315.0,90,77.793293
8565.0,84,78.301421
7120.0,89,78.917403
6940.0,67,79.307122
7505.0,90,79.836035
7710.0,90,80.330977
6740.0,67,80.723608
5580.0,76,81.199534
8860.0,90,81.711222
7925.0,89,82.173923
7680.0,90,82.633996
7800.0,90,83.126262
6775.0,71,83.577573
7610.0,90,84.123016
8700.0,76,84.61157
6460.0,65,84.926268
6115.0,85,85.42534
7880.0,90,85.913795
7165.0,73,86.324352
7845.0,86,87.414253
6835.0,69,87.827414
7345.0,77,88.286195
7775.0,90,88.800983
7790.0,87,89.291541
6500.0,90,89.831428
6585.0,70,90.311199
7175.0,65,90.675666
7915.0,87,91.191116
8045.0,90,91.698767
7550.0,84,92.171998
8115.0,86,92.678218
8515.0,90,93.208832
8330.0,90,93.692002
6060.0,69,94.014705
8475.0,90,94.527564
8805.0,89,95.04463
8530.0,90,95.584418
6330.0,63,96.011749
8845.0,88,96.506637
7505.0,86,97.021785
9365.0,90,97.519792
7135.0,69,97.983378
8045.0,89,98.47421
7370.0,90,98.907175
8545.0,86,99.24267
7385.0,70,99.673581
6810.0,90,100.080848
9255.0,90,100.51109
7980.0,90,101.073845
6725.0,65,101.490759
7740.0,72,101.912774
9240.0,90,102.374709
7795.0,82,102.840938
7125.0,68,103.252208
8835.0,83,103.625318
9095.0,90,104.094264
8015.0,83,104.578046
7735.0,90,105.090634
8225.0,90,105.609854
7630.0,90,106.22309
8960.0,90,106.786881
8330.0,76,107.250451
8840.0,85,107.747836
7665.0,83,108.159797
7890.0,90,108.683532
8400.0,90,109.192674
7470.0,90,109.619401
8030.0,80,110.105451
7600.0,85,110.596415
7380.0,74,111.017762
8785.0,90,111.444746
9140.0,83,111.943627
7425.0,76,112.47476
8385.0,90,112.894643
9060.0,88,113.378242
7640.0,65,113.766947
7670.0,78,114.223507
6765.0,63,114.604097
6240.0,63,114.996999
7700.0,90,116.095081
7815.0,81,116.471793
8335.0,90,116.993019
7295.0,80,117.475311
8105.0,81,117.970905
7770.0,75,118.427787
7845.0,77,118.896845
7990.0,82,119.356832
6110.0,75,119.800759
7730.0,74,120.224741
8740.0,84,120.649776
6380.0,80,121.110565
7755.0,75,121.545181
7320.0,90,122.108922
7905.0,76,122.540053
7940.0,90,123.076391
7875.0,80,123.568946
6775.0,71,123.980064
7940.0,90,124.504284
7755.0,84,125.005555
7750.0,90,125.536814
7780.0,89,126.064608
7735.0,80,126.618872
8305.0,69,126.999112
7690.0,90,127.508844
7630.0,83,127.991011
8140.0,83,128.49544
7800.0,90,129.050488
8000.0,90,129.577327
8980.0,90,130.097588
8400.0,90,130.63062
8115.0,87,131.122164
7110.0,68,131.536738
8535.0,90,132.030134
7915.0,86,132.524957
8155.0,79,132.968674
6780.0,68,133.356506
7135.0,80,133.908936
7310.0,90,134.472663
8150.0,90,134.997149
7130.0,76,135.432555
8255.0,83,135.906924
6815.0,79,136.373034
8805.0,90,136.869793
9020.0,88,137.355928
8135.0,89,137.859014
7380.0,90,138.410182
6100.0,62,138.691566
7580.0,90,139.199481
7760.0,75,139.694835
6355.0,62,140.111251
7550.0,69,140.530896
7840.0,78,140.886685
6300.0,70,141.168449
6390.0,65,141.551715
7460.0,77,141.994868
7170.0,90,142.521667
7565.0,73,142.947682
6710.0,62,143.328144
7040.0,62,143.686601
7465.0,81,144.150717
8395.0,83,144.633044
8750.0,90,145.933746
8300.0,90,146.423339
8045.0,78,146.890757
7640.0,90,147.253843
7615.0,82,147.703734
