#{"t_start": 1763552969.011456, "env_id": "HealthcareEnv-v0"}
r,l,t
-335.0,87,0.831615
3655.0,90,1.565588
8330.0,90,2.250194
7135.0,90,2.886868
6550.0,90,3.550839
7820.0,90,4.320208
5445.0,90,5.030708
5225.0,90,6.106941
7910.0,90,7.208322
8550.0,90,8.129214
7735.0,90,9.290466
9125.0,88,10.455423
8875.0,90,12.206862
6395.0,81,13.047493
7645.0,85,14.06011
6240.0,90,14.889508
8200.0,90,16.075015
6670.0,87,16.917377
7885.0,90,17.927288
7625.0,90,19.329476
6235.0,90,20.807249
6900.0,90,21.985487
7060.0,90,23.525363
8215.0,90,25.778806
7710.0,90,26.615706
6055.0,90,27.445505
6320.0,90,29.078274
7470.0,90,30.798203
7095.0,90,32.276438
6625.0,90,33.106194
7200.0,90,34.136709
6645.0,86,35.306239
7630.0,90,36.534333
6415.0,90,37.530567
5270.0,90,38.865449
7645.0,88,39.720267
7025.0,88,40.840039
7775.0,89,41.530065
7705.0,83,42.148114
8460.0,90,42.837806
5990.0,90,43.495729
8425.0,86,44.138077
6590.0,90,44.807998
7855.0,90,45.665728
8655.0,90,46.376014
7530.0,90,47.130207
6205.0,90,48.040435
5980.0,90,48.981313
8835.0,90,49.86583
7310.0,90,51.159009
7975.0,90,52.288795
7315.0,89,53.083061
5565.0,86,54.145802
7980.0,90,54.84836
7665.0,90,55.528607
6505.0,90,56.222739
7650.0,90,58.46054
7130.0,90,59.16592
6620.0,90,59.855456
7400.0,90,60.93675
6425.0,90,61.758349
7670.0,90,63.395401
5120.0,90,64.331472
7800.0,90,65.220003
7840.0,90,66.200843
8040.0,78,66.967395
6910.0,90,67.985564
7260.0,90,69.075797
6460.0,90,70.475618
9500.0,90,71.276588
6930.0,90,71.965803
5660.0,74,72.527536
7835.0,81,73.150318
6070.0,72,73.849786
8575.0,90,74.515403
6650.0,87,75.157758
8880.0,90,75.879438
7780.0,90,76.535665
8895.0,90,77.410812
6990.0,87,78.497678
7880.0,90,79.388615
6750.0,90,80.401904
7050.0,90,81.385891
8230.0,90,82.299225
5590.0,90,83.419968
8430.0,90,84.300475
7230.0,90,85.149978
6480.0,90,86.0157
6850.0,90,86.740306
6765.0,90,88.065642
7870.0,81,88.949551
7505.0,90,89.631909
7405.0,78,90.799205
6920.0,90,91.703033
6820.0,66,92.445701
7490.0,83,93.068194
7570.0,76,93.977337
6805.0,74,94.690958
7265.0,84,95.449261
7020.0,89,96.354156
5160.0,82,97.093754
7790.0,86,98.295425
7385.0,83,99.061675
7395.0,90,99.978239
7415.0,84,100.583532
7055.0,81,101.153322
6625.0,65,101.811255
7090.0,72,102.506457
6395.0,68,103.275264
4770.0,71,104.009075
5580.0,65,104.596035
7210.0,73,105.35446
5125.0,88,106.062506
7575.0,64,106.766253
6295.0,74,107.573353
6365.0,72,109.663685
6495.0,68,110.663387
7010.0,73,111.223696
6910.0,76,111.883601
7865.0,83,113.003903
8270.0,80,113.964848
7655.0,81,114.653424
7590.0,90,115.773321
7760.0,90,117.053653
8700.0,90,118.375408
8720.0,88,119.673345
7245.0,90,121.016351
8575.0,90,122.27966
7875.0,73,123.255387
7350.0,81,123.882533
7265.0,82,124.493273
7165.0,90,125.18244
6730.0,90,125.863417
7595.0,79,126.553427
7970.0,86,127.195556
5615.0,75,127.763031
7500.0,78,128.41335
6145.0,67,128.931979
6865.0,74,129.496305
8550.0,90,130.651248
7270.0,73,131.57997
7755.0,69,132.16374
7530.0,84,132.932029
7695.0,83,133.628424
8000.0,80,134.298042
8150.0,74,134.990167
8015.0,78,135.76619
6205.0,84,136.475651
6650.0,67,137.153738
8700.0,90,138.056552
8630.0,90,139.301849
8435.0,90,140.083613
7415.0,85,140.753381
7670.0,83,141.647304
8440.0,81,142.806289
6995.0,90,143.846059
8450.0,88,144.832072
7725.0,86,145.663708
7010.0,68,146.521693
7770.0,90,147.32784
7065.0,82,148.125706
7435.0,88,149.033362
6255.0,71,150.055684
6890.0,79,150.631789
7355.0,73,151.811172
8145.0,90,152.706253
8075.0,90,154.056745
7005.0,71,154.708701
7260.0,67,155.376241
