#{"t_start": 1763552414.9476135, "env_id": "HealthcareEnv-v0"}
r,l,t
1595.0,90,2.242485
3625.0,90,4.242549
1170.0,64,5.112666
4700.0,88,6.255412
5310.0,72,7.054957
6445.0,87,8.73053
6265.0,79,10.292735
6340.0,87,11.475242
6545.0,90,12.414309
6420.0,87,13.420882
6955.0,90,14.482247
7030.0,90,15.666184
6915.0,90,16.666017
7460.0,90,17.596637
8165.0,90,18.572681
6175.0,90,19.496647
5460.0,90,20.233861
8385.0,90,21.827457
7330.0,90,22.96469
8695.0,90,24.162391
7260.0,90,25.073064
8980.0,90,26.254737
8100.0,90,27.44433
7705.0,90,28.70015
6545.0,90,29.692293
8625.0,90,30.894661
6770.0,90,32.134179
7555.0,90,33.391528
8195.0,90,34.744108
8335.0,90,36.262412
8220.0,90,37.755295
8880.0,90,39.528766
9285.0,90,40.422139
3235.0,90,41.143384
6830.0,90,42.300365
6090.0,90,43.307453
7425.0,90,44.572587
8165.0,90,45.526696
8150.0,90,46.360266
8345.0,90,47.865766
6435.0,90,48.908066
6010.0,90,50.17601
7240.0,90,51.202421
6470.0,90,52.212452
7440.0,80,53.285484
5855.0,84,54.527697
6600.0,72,55.357503
6710.0,69,56.07558
6520.0,88,56.93902
7075.0,90,57.962388
8090.0,82,58.711062
5885.0,81,59.506734
4975.0,77,60.484662
7425.0,90,61.438798
7290.0,86,62.852247
4920.0,70,63.675581
7265.0,90,64.87242
8610.0,90,67.090973
8280.0,90,68.136679
5770.0,90,69.071623
7530.0,84,69.887274
7350.0,90,70.986272
7760.0,90,71.918194
8135.0,90,73.492522
8110.0,90,74.372836
7575.0,90,75.288417
6770.0,84,76.387628
7875.0,80,77.07473
7090.0,82,78.219609
7340.0,90,79.052185
7850.0,90,79.924586
6610.0,90,80.845413
6970.0,90,82.33883
7260.0,90,83.457126
6020.0,90,84.492568
8260.0,90,85.524046
5620.0,90,86.935753
8240.0,90,87.996768
5730.0,90,88.960133
8535.0,90,90.341547
4570.0,90,91.742612
8820.0,90,93.042719
3795.0,90,94.72582
7610.0,90,96.044508
7460.0,90,97.094296
6610.0,90,98.148626
7010.0,84,99.862489
8740.0,90,100.962218
7690.0,90,101.622402
6840.0,90,102.303891
7460.0,83,103.046908
7375.0,90,104.372543
8105.0,90,105.39634
5985.0,70,105.985486
6955.0,79,106.805684
7485.0,86,107.662407
7210.0,79,108.542233
6995.0,80,109.732544
6980.0,78,110.582628
8210.0,90,112.02628
7700.0,90,112.962212
7365.0,90,113.825128
7590.0,90,114.767989
7550.0,90,115.924667
7170.0,90,116.967964
9115.0,83,117.69216
5160.0,90,118.747437
7600.0,90,119.710711
7495.0,88,120.892226
7565.0,89,121.927013
7680.0,86,123.365549
7820.0,90,124.032682
8580.0,90,125.353877
8780.0,90,126.378393
7330.0,80,128.672335
7390.0,72,129.176024
5855.0,79,130.096915
7245.0,78,130.706791
5130.0,90,131.482528
5530.0,85,132.558729
4650.0,90,134.061481
5165.0,61,134.760315
5290.0,90,136.285862
3920.0,88,137.408875
4355.0,63,137.98273
2770.0,57,138.392178
3990.0,57,138.792482
6095.0,90,139.444092
5000.0,90,140.087113
4510.0,76,141.035239
5160.0,60,141.704355
4870.0,80,142.357054
4430.0,90,143.132262
5745.0,81,144.11079
4140.0,58,144.615365
4690.0,62,145.327891
5160.0,84,145.994681
4015.0,76,146.762167
4875.0,83,147.501646
4485.0,78,148.374668
6535.0,75,149.372712
7575.0,90,150.292417
7920.0,90,151.197472
8010.0,90,152.185691
7300.0,90,152.929245
8200.0,90,153.87384
8350.0,90,154.762581
6020.0,90,155.544475
7760.0,90,156.514966
7210.0,90,157.353055
6400.0,90,158.352405
8905.0,90,159.462845
6690.0,84,160.340003
8590.0,90,161.637104
4990.0,90,162.64212
7160.0,90,163.327816
6510.0,90,164.222648
7230.0,90,165.114474
7195.0,90,165.857802
7975.0,90,166.682687
8095.0,90,167.488457
7790.0,90,168.354107
8545.0,90,169.173531
8810.0,90,170.022418
7910.0,90,171.022353
9200.0,90,171.792641
6380.0,90,172.522251
8330.0,90,173.818664
9110.0,90,175.381029
8670.0,90,176.150849
7115.0,84,176.985542
6025.0,87,177.842309
6100.0,90,178.710103
9335.0,90,179.587497
8190.0,90,181.590484
8270.0,84,182.272602
8680.0,90,182.982675
9960.0,90,184.005967
8965.0,87,184.954461
8310.0,90,186.355024
9340.0,90,187.563753
8840.0,90,188.53271
7360.0,90,189.472582
8660.0,90,190.314944
7590.0,90,191.130782
6970.0,90,192.172393
7810.0,90,193.09459
8300.0,90,193.95876
8030.0,90,194.728864
7690.0,90,195.518498
6730.0,90,196.428381
9440.0,90,197.302405
8040.0,90,198.181119
6950.0,90,199.120969
8740.0,90,200.34613
8320.0,90,201.245486
10140.0,90,202.222748
9760.0,90,203.130669
9120.0,90,204.100537
7210.0,90,204.932956
7250.0,90,205.732243
9160.0,90,206.546935
8950.0,90,207.508045
9470.0,90,208.472478
9000.0,90,209.435754
9030.0,90,210.35301
8040.0,90,211.346733
7660.0,90,213.012557
10530.0,90,214.016418
8440.0,90,215.275087
9140.0,90,216.104564
8670.0,90,216.94001
7520.0,90,217.767109
10000.0,90,218.913201
7500.0,90,219.856883
6560.0,90,220.73267
8690.0,90,221.748903
8570.0,90,222.912598
7400.0,90,224.122147
8490.0,90,225.306811
8440.0,90,226.082556
7870.0,90,227.082345
10200.0,90,227.908796
9180.0,90,228.906411
9925.0,90,229.885072
10275.0,90,230.672511
8510.0,90,231.640091
10000.0,90,232.474981
8540.0,90,233.375358
9520.0,90,235.16632
9170.0,90,236.152271
7280.0,90,237.469656
10425.0,90,238.586056
8280.0,90,239.36223
8670.0,90,240.232213
9860.0,90,241.347331
7910.0,90,242.11418
7870.0,90,243.312524
9510.0,90,244.404476
7925.0,90,245.451072
10400.0,90,246.392521
10180.0,90,247.355438
9180.0,90,248.126177
7460.0,90,248.916517
8890.0,90,250.106433
9090.0,90,251.010127
8580.0,90,252.14458
7240.0,90,253.13425
6620.0,90,254.110564
8880.0,90,254.803615
7860.0,90,255.696432
8820.0,90,256.528455
9070.0,90,257.864306
7350.0,90,258.68243
9080.0,90,259.336555
8840.0,90,260.229735
8745.0,90,261.012354
7770.0,90,261.782463
8200.0,90,262.840572
8040.0,90,263.655044
8770.0,90,264.927331
9550.0,90,265.772301
10210.0,90,266.582264
9160.0,90,267.578407
10070.0,90,268.36249
8820.0,90,269.312347
8500.0,90,270.089354
8295.0,90,270.901255
8630.0,90,272.082352
8275.0,90,272.992565
7835.0,90,273.850855
7645.0,90,274.576751
9670.0,90,275.440035
8105.0,90,276.161211
