#{"t_start": 1763547143.074545, "env_id": "HealthcareEnv-v0"}
r,l,t
-1935.0,90,0.024982
1600.0,90,0.047862
2540.0,90,0.071248
3220.0,90,0.074857
405.0,90,0.112879
-1320.0,90,0.138541
5.0,83,0.16532
4225.0,90,0.197081
2055.0,90,0.214648
1175.0,90,0.224906
-825.0,90,0.253334
2390.0,90,0.349243
2220.0,90,0.530803
720.0,81,0.696139
210.0,90,0.931412
-1695.0,76,1.153918
4140.0,84,1.35841
6300.0,90,1.549196
4445.0,90,1.748587
5435.0,90,1.938321
5140.0,90,2.151814
4530.0,90,2.378428
5755.0,90,2.60088
5815.0,90,2.799196
5700.0,90,3.035035
5720.0,90,3.239702
6810.0,90,3.46402
7010.0,90,3.656994
4090.0,90,3.874042
3075.0,89,4.071829
7305.0,90,4.288929
6050.0,90,4.502739
5500.0,90,4.747503
5260.0,90,4.957038
7635.0,90,5.178655
5850.0,90,5.394616
3680.0,90,5.659411
5725.0,90,5.912319
7305.0,90,6.176696
8975.0,90,6.377924
6110.0,90,6.640744
6905.0,90,6.901933
5915.0,90,7.132882
5020.0,90,7.358411
6160.0,90,7.623647
5910.0,90,7.858151
6935.0,90,8.135484
5975.0,90,8.364242
5100.0,90,8.629349
4675.0,90,8.866437
6880.0,90,9.112911
6255.0,90,9.380287
5920.0,90,9.62781
4470.0,90,9.866266
6140.0,90,10.135559
7170.0,90,10.774442
6630.0,90,10.961072
6515.0,90,11.213352
4230.0,90,11.484599
7030.0,90,11.751087
3195.0,90,12.019646
6770.0,90,12.264563
4005.0,90,12.489301
6025.0,90,12.778087
3960.0,90,13.105491
5985.0,90,13.409441
5360.0,90,13.678735
3820.0,90,13.945612
5785.0,90,14.223546
9080.0,90,14.474355
4920.0,90,14.736289
7180.0,90,14.981529
6760.0,90,15.361905
7510.0,90,15.740351
2790.0,90,16.145843
4890.0,90,16.550187
3315.0,90,16.974086
7900.0,90,17.34716
3940.0,90,17.723711
5415.0,90,18.083709
4495.0,90,18.518368
4550.0,90,18.953884
6180.0,90,19.383318
5610.0,90,19.797445
6670.0,90,20.275924
6090.0,90,20.683432
3535.0,90,21.118402
6565.0,90,21.499777
6065.0,90,21.923799
3530.0,90,22.323426
3450.0,90,22.694425
3380.0,67,22.932565
6035.0,90,23.30183
6770.0,90,23.670616
7625.0,90,24.081214
7445.0,90,24.453984
3220.0,90,24.921871
4845.0,90,25.28442
4865.0,90,25.685402
7315.0,90,26.073446
3880.0,90,26.52125
8250.0,90,26.888383
7310.0,90,27.323624
5660.0,90,27.710784
7365.0,90,28.11769
130.0,90,28.484108
4805.0,90,28.844021
3375.0,90,29.193924
5920.0,90,29.629989
6525.0,90,30.05864
6265.0,90,30.34752
4540.0,90,31.281215
4150.0,90,31.629869
7230.0,90,31.997767
4540.0,90,32.301943
6595.0,90,32.657859
9420.0,90,33.023567
5640.0,90,33.340932
3565.0,90,33.689993
5920.0,90,34.017781
3335.0,90,34.405974
3845.0,90,34.744013
7485.0,90,35.107159
7260.0,90,35.575469
3975.0,78,35.903647
8215.0,90,36.217507
7475.0,90,36.590417
5035.0,90,36.911745
6010.0,90,37.301292
10660.0,90,37.642237
10170.0,90,37.999842
8335.0,90,38.363263
5595.0,90,38.752205
8495.0,90,39.106352
6730.0,90,39.48226
7600.0,90,39.766841
5285.0,82,40.06436
8365.0,90,40.474671
6465.0,66,40.768001
6655.0,87,41.13011
8230.0,90,41.54786
2860.0,90,41.916861
8135.0,90,42.259166
5060.0,90,42.618525
7030.0,90,43.004144
7480.0,90,43.359919
7725.0,90,43.709517
8230.0,90,44.074058
8115.0,90,44.436266
6810.0,90,44.787848
4380.0,90,45.164958
6705.0,90,45.512241
6560.0,90,45.874738
9085.0,89,46.25524
8660.0,90,46.650225
8535.0,90,46.918588
8570.0,90,47.268623
6225.0,90,47.556826
6125.0,90,47.853962
5395.0,90,48.123494
5280.0,82,48.412667
4880.0,90,48.695811
8920.0,90,49.008366
9120.0,90,49.296731
4010.0,90,49.70888
8800.0,90,50.063933
3020.0,90,50.362001
5070.0,90,51.197969
7320.0,83,51.462252
3570.0,73,51.723773
8240.0,90,52.159651
7180.0,88,52.508771
7115.0,89,52.925635
5685.0,63,53.26192
6705.0,63,53.538416
7105.0,78,53.82881
6335.0,90,54.206794
5820.0,90,54.549458
3730.0,87,54.877603
8885.0,90,55.138137
6570.0,90,55.517892
9880.0,90,55.908392
9630.0,90,56.250048
7265.0,81,56.482284
6920.0,80,56.837268
6330.0,71,57.10319
8675.0,90,57.471826
5700.0,80,57.855269
6350.0,90,58.238628
6185.0,78,58.559639
3660.0,90,58.864552
6275.0,85,59.204406
7090.0,90,59.557874
6300.0,90,59.903692
2500.0,90,60.273728
8740.0,90,60.641774
4195.0,61,60.879884
4815.0,90,61.230244
6850.0,88,61.584927
3430.0,74,61.861765
7935.0,90,62.267726
5625.0,82,62.500237
3295.0,85,62.894781
3095.0,90,63.260477
7905.0,90,63.644428
9405.0,90,64.001562
8655.0,78,64.275691
6145.0,78,64.521508
9160.0,90,64.882587
7870.0,90,65.18526
8200.0,90,65.545789
5460.0,87,65.870155
9165.0,90,66.237543
9495.0,90,66.580235
7655.0,90,66.864168
9250.0,90,67.192441
7220.0,90,67.570441
8180.0,90,67.891489
7900.0,90,68.214822
9800.0,90,68.601796
9670.0,90,69.04041
6810.0,90,69.426353
4155.0,90,69.823471
9075.0,90,70.173419
7870.0,87,70.472982
3385.0,86,70.791129
7580.0,90,71.631738
7480.0,90,71.958524
6165.0,90,72.323109
7060.0,90,72.6861
4825.0,90,73.040352
6310.0,87,73.363645
5970.0,65,73.665155
7385.0,90,74.040079
8605.0,90,74.406396
6685.0,90,74.735936
6590.0,90,75.044817
5225.0,71,75.309908
6280.0,90,75.656991
8480.0,90,76.057493
5415.0,68,76.35256
6090.0,76,76.559566
6015.0,67,76.824353
9585.0,90,77.166544
5785.0,69,77.454714
8180.0,90,77.863946
7605.0,90,78.18835
6750.0,90,78.513276
2400.0,63,78.790072
3365.0,73,79.030544
7830.0,80,79.266684
6960.0,90,79.690285
4420.0,90,80.047738
6595.0,90,80.364314
5940.0,90,80.720579
