#{"t_start": 1763547341.4518905, "env_id": "HealthcareEnv-v0"}
r,l,t
2710.0,90,0.095804
2840.0,90,0.135801
400.0,90,0.200385
-985.0,90,0.253836
-35.0,88,0.318658
815.0,90,0.37633
-480.0,85,0.424852
300.0,90,0.446264
1160.0,90,0.51426
-735.0,90,0.563004
505.0,90,0.614673
2880.0,90,0.871286
4170.0,90,1.193935
5185.0,88,1.410378
3395.0,90,1.686539
3320.0,87,1.971877
6175.0,90,2.310106
4000.0,90,2.581937
4240.0,90,2.900304
6040.0,90,3.162837
4970.0,90,3.656394
6800.0,90,3.988519
5475.0,90,4.296055
7540.0,86,4.600804
4575.0,90,4.962486
4380.0,90,5.302745
6015.0,90,5.606801
8570.0,90,5.982696
6530.0,90,6.307044
6400.0,90,6.618243
6045.0,90,6.938968
4245.0,90,7.282802
6360.0,90,7.593987
4395.0,90,7.926175
4885.0,90,8.241768
4975.0,90,8.576684
5955.0,90,8.914998
7000.0,90,9.234646
6990.0,90,9.596877
8055.0,90,9.928691
6625.0,90,10.282735
2820.0,90,10.708582
5740.0,90,11.067444
460.0,90,11.406519
4490.0,90,11.791969
7165.0,90,12.137248
7780.0,90,12.400149
6575.0,90,12.747124
2970.0,90,13.150347
4890.0,90,13.49858
5060.0,90,13.862601
6790.0,90,14.23377
4950.0,90,14.62654
3955.0,90,14.981387
5385.0,90,15.365303
6810.0,90,16.377576
3950.0,90,16.800831
8285.0,90,17.162884
5935.0,90,17.550266
8130.0,90,18.079687
4185.0,90,18.591824
4265.0,90,19.017943
4820.0,90,19.432041
6650.0,90,19.810099
5660.0,90,20.22449
4315.0,90,20.594636
6750.0,90,20.969831
4550.0,90,21.34815
6030.0,90,21.71705
5030.0,90,22.087494
6430.0,90,22.450246
1780.0,90,22.812418
6905.0,90,23.206826
7075.0,90,23.625912
4525.0,90,24.017105
4360.0,90,24.350807
7300.0,90,24.746587
3455.0,90,25.103025
6165.0,90,25.466773
7360.0,90,25.808465
4785.0,90,26.225987
7755.0,90,26.650222
9150.0,90,27.017935
6525.0,90,27.404907
4875.0,90,27.754433
7365.0,90,27.998649
6805.0,90,28.34611
7475.0,90,28.687543
7130.0,90,29.090361
4710.0,90,29.451151
7525.0,90,29.855817
8470.0,90,30.121343
9410.0,90,30.450819
8870.0,90,30.765979
8245.0,90,31.150321
10635.0,90,31.465862
8850.0,90,31.809177
8550.0,90,32.185797
8535.0,90,32.521661
5890.0,90,32.81026
7285.0,90,33.101586
8825.0,90,33.503213
6980.0,90,33.742687
8925.0,90,34.019708
10110.0,90,34.386064
9635.0,90,34.751648
3960.0,90,35.053565
8885.0,90,35.331825
4025.0,61,35.538087
8480.0,90,35.846085
8655.0,90,36.105605
8835.0,90,36.755394
5420.0,90,37.063496
7735.0,83,37.318774
8445.0,90,37.606308
8315.0,90,37.877042
