#{"t_start": 1763546521.950353, "env_id": "HealthcareEnv-v0"}
r,l,t
-540.0,90,2.824366
1170.0,90,2.864877
3380.0,90,2.877549
2745.0,90,2.885941
1295.0,90,2.925457
2295.0,90,2.947818
2190.0,90,2.964597
2330.0,90,2.979035
2215.0,87,3.000398
-705.0,90,3.017176
-700.0,90,3.052583
-735.0,90,3.275906
5310.0,90,3.534524
5670.0,90,3.721707
1685.0,90,3.903765
2615.0,90,4.127991
3795.0,86,4.351004
6295.0,90,4.564979
4175.0,90,4.800848
5370.0,90,5.027659
5050.0,90,5.249615
4820.0,90,5.460559
5930.0,87,5.650478
7450.0,90,5.862558
5625.0,90,6.101913
5790.0,90,6.307282
4330.0,90,6.506832
6405.0,85,6.69758
3495.0,90,6.973884
6940.0,90,7.199713
6895.0,90,7.447749
6970.0,90,7.674694
5515.0,90,7.89595
5315.0,90,8.142743
7855.0,90,8.388277
5125.0,90,8.6839
6575.0,90,8.955494
6655.0,90,9.275266
7515.0,90,9.517022
7735.0,90,9.75833
6395.0,90,10.016352
6845.0,90,10.249787
5320.0,90,10.491969
5665.0,90,10.727988
4535.0,90,10.98822
7195.0,90,11.214079
7430.0,90,11.403579
6825.0,90,11.674591
2495.0,90,11.978043
6170.0,90,12.264424
6005.0,90,12.483791
4850.0,90,12.770755
4820.0,90,13.052155
5085.0,90,13.2997
4845.0,90,13.55594
6665.0,90,14.292462
5885.0,90,14.623259
6125.0,90,14.95645
2555.0,90,15.240603
6035.0,90,15.592417
7415.0,90,15.848404
6665.0,90,16.053486
2785.0,90,16.284092
3265.0,90,16.560347
4795.0,90,16.822052
5120.0,90,17.052003
4110.0,90,17.326926
6130.0,90,17.583085
4470.0,90,17.898594
4875.0,90,18.16642
3670.0,90,18.433768
4705.0,90,18.689321
5380.0,90,18.976736
5275.0,90,19.230404
7025.0,90,19.499741
4960.0,90,19.766536
6275.0,90,20.130317
5625.0,90,20.458323
4360.0,90,20.715322
5360.0,90,20.966011
2705.0,55,21.13255
4220.0,90,21.422751
1195.0,90,21.703674
4955.0,90,21.994473
8160.0,90,22.316197
4480.0,90,22.595518
7215.0,90,22.900985
4130.0,90,23.166178
4285.0,90,23.436196
4690.0,90,23.731385
5840.0,90,24.014319
6470.0,90,24.229495
5815.0,90,24.473144
6280.0,90,24.758577
6315.0,90,25.047533
4155.0,90,25.308789
4140.0,90,25.633247
4760.0,90,26.051166
5910.0,90,26.358762
2330.0,90,26.652842
4760.0,90,26.983624
5465.0,90,27.309646
4370.0,90,27.587675
5240.0,90,27.88267
5275.0,90,28.17251
3025.0,90,28.489179
5300.0,90,28.791853
4235.0,90,29.094508
1905.0,90,29.390544
3515.0,90,29.724377
4325.0,90,30.015265
4910.0,90,30.610257
3570.0,90,30.970499
6620.0,90,31.29784
6975.0,90,31.625001
3145.0,90,31.940765
4250.0,90,32.260724
6225.0,90,32.536768
5105.0,90,32.798574
6080.0,90,33.082108
5845.0,90,33.39885
5725.0,90,33.671462
3090.0,90,33.926256
6625.0,90,34.184472
6460.0,90,34.474873
5740.0,90,34.718939
7255.0,90,34.978
7760.0,90,35.225687
6250.0,90,35.530277
7750.0,90,35.782451
6740.0,90,36.017668
2650.0,66,36.199478
4195.0,90,36.472356
3485.0,90,36.791788
5285.0,90,37.110755
5840.0,89,37.415581
7810.0,90,37.692517
9170.0,90,37.980867
6160.0,90,38.219713
4390.0,90,38.511406
6095.0,90,38.793499
7370.0,90,39.052165
5200.0,90,39.325868
6785.0,90,39.570538
5780.0,90,39.823375
7680.0,90,40.064143
5695.0,90,40.336052
6330.0,90,40.59771
4240.0,63,40.806128
3980.0,69,40.994259
7910.0,90,41.225194
6355.0,90,41.487701
5870.0,90,41.732842
7400.0,90,41.967161
3370.0,64,42.156393
8065.0,90,42.433492
4810.0,90,42.816285
2850.0,90,43.072821
3000.0,90,43.316002
3140.0,90,43.547843
6490.0,80,43.823599
3015.0,79,44.045803
3460.0,64,44.199916
9110.0,90,44.456257
7270.0,90,44.736054
5445.0,90,45.036918
10295.0,90,45.308923
8055.0,90,45.525867
7030.0,90,46.191573
7800.0,90,46.376494
3420.0,90,46.624351
3660.0,67,46.817457
2575.0,57,46.974961
3395.0,66,47.154457
3485.0,60,47.348299
6675.0,87,47.58304
4595.0,71,47.838239
9175.0,90,48.142046
4830.0,90,48.428087
5530.0,90,48.706716
7040.0,83,48.981362
2275.0,87,49.220149
6660.0,90,49.491102
4435.0,90,49.749668
7080.0,90,50.011339
7570.0,90,50.249048
9045.0,90,50.491775
6865.0,90,50.729206
4760.0,80,51.000501
3090.0,90,51.284873
6455.0,90,51.525857
8675.0,90,51.772478
5310.0,82,52.080963
6300.0,90,52.328182
4500.0,90,52.563788
7720.0,90,52.804158
7870.0,90,53.063913
3860.0,90,53.370283
2955.0,76,53.665934
3630.0,76,53.884698
3740.0,63,54.072174
9645.0,90,54.355417
6840.0,90,54.598011
7830.0,90,54.818171
3125.0,82,55.063107
4750.0,63,55.234737
5315.0,90,55.501603
7860.0,90,55.76389
2945.0,68,55.978788
4760.0,90,56.234562
4515.0,76,56.432273
6170.0,90,56.713308
7160.0,90,56.981674
6665.0,90,57.187427
7630.0,90,57.421208
4855.0,68,57.601438
9710.0,90,57.898253
3435.0,84,58.125152
5760.0,88,58.36106
3225.0,78,58.551389
4315.0,90,58.870324
8630.0,90,59.218817
4320.0,90,59.483994
3405.0,84,59.689903
3740.0,77,59.910212
3685.0,74,60.09902
4765.0,90,60.374496
4245.0,90,60.621208
3745.0,90,61.226285
5210.0,90,61.494596
7400.0,90,61.780553
5535.0,63,61.975619
4480.0,90,62.248251
6730.0,90,62.513539
6045.0,75,62.713984
-165.0,50,62.8637
7280.0,76,63.11138
4755.0,70,63.322456
3535.0,70,63.504192
4210.0,90,63.791569
7280.0,80,64.014694
4320.0,90,64.258111
1265.0,82,64.597314
2215.0,56,64.863977
3575.0,85,65.224874
7050.0,90,65.570438
6200.0,90,65.836628
6205.0,75,66.110721
7510.0,67,66.357428
5675.0,90,66.638008
6675.0,90,66.910081
7655.0,90,67.187326
3880.0,90,67.480948
4490.0,90,67.745037
4255.0,82,67.971918
2625.0,66,68.186191
5520.0,90,68.524902
8635.0,90,68.765733
6580.0,90,68.976697
3975.0,90,69.280992
5200.0,90,69.567292
8450.0,90,69.865824
8685.0,90,70.1243
2245.0,90,70.404766
7755.0,90,70.672655
5740.0,88,70.942388
5860.0,90,71.221437
7840.0,90,71.470582
5430.0,90,71.763062
3415.0,75,71.99391
6165.0,90,72.254288
8760.0,90,72.497823
2110.0,57,72.700177
5205.0,80,72.949683
7550.0,90,73.227649
6510.0,90,73.492647
6830.0,74,73.742913
10315.0,90,74.074629
6585.0,90,74.585116
5680.0,90,74.882699
7180.0,90,75.174051
3245.0,68,75.375042
5985.0,79,75.609164
5200.0,64,75.816044
-3115.0,40,75.969499
-2880.0,37,76.098195
2020.0,56,76.285664
2400.0,69,76.48272
4040.0,90,76.786033
3460.0,61,76.958087
2710.0,65,77.470972
8010.0,88,77.734962
7315.0,90,78.040132
-2755.0,47,78.192376
4875.0,82,78.429412
8015.0,90,78.725942
6390.0,71,78.947762
4740.0,61,79.161421
9740.0,90,79.414168
4715.0,70,79.626662
7005.0,90,79.875013
4130.0,87,80.125285
3330.0,64,80.355952
5595.0,71,80.581328
5495.0,83,80.857049
6625.0,90,81.123095
10150.0,90,81.391353
9385.0,90,81.697164
8850.0,90,82.04417
4645.0,90,82.34924
3500.0,74,82.567683
5170.0,90,82.846182
275.0,90,83.147213
6370.0,90,83.414283
6550.0,90,83.694412
7980.0,90,83.962418
8425.0,78,84.268096
9670.0,90,84.538396
8245.0,80,84.788096
7650.0,90,85.141711
7920.0,90,85.427367
7210.0,90,85.690829
8560.0,90,85.915287
6280.0,73,86.140029
2105.0,90,86.416728
7435.0,90,86.66716
4660.0,90,86.953714
5475.0,90,87.211172
4790.0,74,87.531821
7915.0,77,87.798185
4075.0,90,88.068843
6485.0,90,88.304929
9130.0,90,88.612688
8875.0,90,88.866912
9250.0,90,89.133527
6060.0,90,89.397614
2575.0,90,89.705177
1015.0,90,89.978327
3440.0,67,90.170588
5275.0,69,90.371469
8390.0,90,90.650397
7580.0,90,90.930326
7570.0,90,91.204127
3210.0,90,91.474151
5155.0,90,91.784436
6690.0,90,92.040134
8080.0,74,92.275872
9160.0,90,92.53094
8990.0,90,92.81826
5770.0,90,93.517234
9105.0,90,93.7976
8105.0,90,94.045936
8050.0,88,94.310274
7060.0,90,94.59342
5300.0,67,94.801917
9695.0,90,95.08653
6525.0,90,95.362781
8205.0,90,95.654639
8560.0,90,95.895813
7015.0,90,96.155445
6425.0,90,96.434714
4650.0,72,96.651259
6420.0,90,96.958259
6935.0,80,97.195769
860.0,73,97.427947
7650.0,90,97.670579
7385.0,90,97.923246
5220.0,90,98.206899
8175.0,90,98.534352
3980.0,58,98.752316
3805.0,90,99.049138
8530.0,90,99.321278
5050.0,59,99.525326
8980.0,90,99.795547
8305.0,90,100.073652
6915.0,90,100.374245
-3490.0,90,100.664309
7190.0,90,100.93275
8590.0,90,101.202468
9615.0,90,101.489887
7690.0,86,101.761389
9310.0,90,102.014237
4035.0,90,102.235704
6605.0,90,102.499931
7535.0,90,102.80178
8350.0,90,103.070073
1955.0,90,103.343971
9400.0,86,103.597105
10280.0,90,103.931008
6400.0,90,104.26651
8485.0,90,104.541882
7215.0,90,104.808791
9120.0,90,105.130605
9410.0,90,105.439589
5470.0,85,105.727037
1540.0,66,105.967024
-2180.0,38,106.13072
2150.0,72,106.431416
10510.0,90,106.825296
9325.0,90,107.154503
7045.0,69,107.405838
8980.0,80,107.650323
5645.0,80,107.91735
8195.0,78,108.186258
5500.0,90,108.542759
-1290.0,90,108.832345
6155.0,90,109.091922
5330.0,90,109.350386
6325.0,90,110.059955
8065.0,90,110.329556
7955.0,90,110.610029
9360.0,90,110.869774
8560.0,90,111.172469
7020.0,81,111.414324
3485.0,90,111.660933
7235.0,90,111.881391
10460.0,90,112.187757
8650.0,90,112.428389
5030.0,90,112.678718
6310.0,90,112.957204
6570.0,90,113.244936
7750.0,90,113.523395
7500.0,90,113.780927
2810.0,58,113.972057
3270.0,75,114.201064
7780.0,90,114.488993
8550.0,90,114.72953
8485.0,90,115.048362
9175.0,90,115.378319
8640.0,90,115.670969
6485.0,67,115.916311
8250.0,90,116.198222
8060.0,90,116.490553
10140.0,90,116.7461
8215.0,90,117.016234
8075.0,90,117.263803
7890.0,81,117.526746
6210.0,72,117.752626
6110.0,90,118.0502
5545.0,90,118.324277
8640.0,90,118.617422
10500.0,90,118.888061
8175.0,76,119.120829
8955.0,90,119.391396
8900.0,90,119.71642
4680.0,74,119.94163
7630.0,90,120.199148
8545.0,90,120.550337
7960.0,85,120.868238
9240.0,90,121.158984
8340.0,90,121.399843
7830.0,85,121.655301
9510.0,90,121.944808
8385.0,90,122.190593
9915.0,90,122.450021
7310.0,73,122.691899
7805.0,90,122.984589
10175.0,90,123.271509
9630.0,90,123.5611
7980.0,90,123.899657
4770.0,62,124.125638
8680.0,90,124.380577
7530.0,90,124.66392
7700.0,90,124.958133
8490.0,90,125.271296
8125.0,90,125.512333
9100.0,90,126.244977
7565.0,90,126.57582
5280.0,83,126.876878
7205.0,90,127.130473
7650.0,90,127.378507
8690.0,90,127.630899
1190.0,53,127.784031
110.0,50,127.930815
-2830.0,46,128.059407
8810.0,90,128.271112
5725.0,74,128.548372
6485.0,66,128.755886
6510.0,90,128.997667
6250.0,79,129.206172
7895.0,90,129.460413
8755.0,90,129.669384
8325.0,90,129.930831
8785.0,90,130.162053
10205.0,90,130.396259
8985.0,90,130.630866
10060.0,90,130.87857
2785.0,55,131.063779
