#{"t_start": 1763547954.3886027, "env_id": "HealthcareEnv-v0"}
r,l,t
950.0,88,0.031011
-590.0,90,0.05565
715.0,90,0.059801
1370.0,88,0.089808
-370.0,90,0.120124
3980.0,90,0.153035
2125.0,90,0.167818
2915.0,90,0.182816
3475.0,90,0.207781
-990.0,87,0.227442
80.0,90,0.242865
-405.0,85,0.349614
2465.0,89,0.552797
5990.0,90,0.752386
4990.0,90,0.972743
3545.0,90,1.180731
4700.0,89,1.418955
4335.0,90,1.631761
5265.0,90,1.819361
4960.0,87,2.036523
5490.0,90,2.308533
5655.0,90,2.502339
6610.0,90,2.70827
4125.0,82,2.887504
7435.0,90,3.109553
7360.0,90,3.321685
7290.0,90,3.525944
6980.0,90,3.69249
6050.0,90,3.907597
7975.0,90,4.102038
3715.0,90,4.325615
6350.0,90,4.556078
8540.0,90,4.78348
7285.0,90,4.987326
4820.0,90,5.255026
6520.0,90,5.552837
6755.0,90,5.809805
7545.0,90,6.048469
5765.0,90,6.278959
4255.0,90,6.49416
7625.0,90,6.746956
6575.0,90,6.990574
6860.0,90,7.191867
7055.0,90,7.384406
5255.0,90,7.642187
5535.0,90,7.894412
6105.0,90,8.142274
6975.0,90,8.382961
5130.0,90,8.649711
6665.0,90,8.882194
4660.0,90,9.172973
6575.0,90,9.442394
6625.0,90,9.70687
3480.0,90,9.947694
5450.0,90,10.202587
5920.0,90,10.795942
4295.0,90,11.028533
5515.0,90,11.263767
4520.0,90,11.555349
4050.0,90,11.800074
6270.0,90,12.119603
5715.0,90,12.362989
5040.0,90,12.621969
5430.0,90,12.842557
7015.0,90,13.081794
3910.0,90,13.317328
3835.0,90,13.560781
5230.0,90,13.830177
5200.0,90,14.089745
4645.0,90,14.325878
5815.0,90,14.555886
7230.0,90,14.786195
5160.0,90,15.099365
1870.0,90,15.338436
4880.0,90,15.553797
5160.0,90,15.807301
4180.0,90,16.068447
5170.0,90,16.355754
3940.0,90,16.595626
4670.0,90,16.846642
4770.0,90,17.08851
6270.0,90,17.363953
4135.0,90,17.609886
3920.0,90,17.848931
6185.0,90,18.101318
5925.0,90,18.320708
5530.0,90,18.58439
1980.0,90,18.831231
5055.0,90,19.099754
4920.0,90,19.349434
5670.0,90,19.593707
6090.0,90,19.861928
7870.0,90,20.142259
4550.0,90,20.396423
5015.0,90,20.64265
5915.0,90,20.878504
1160.0,90,21.225059
4560.0,90,21.496745
5675.0,90,21.74413
7540.0,90,21.964379
2385.0,90,22.267445
5215.0,90,22.500013
6455.0,90,22.749985
3525.0,90,22.97865
4425.0,90,23.251918
3370.0,90,23.49739
6125.0,90,23.775248
5800.0,90,24.025882
7740.0,90,24.288896
5545.0,90,24.555717
4020.0,90,24.791649
8935.0,90,25.296518
6430.0,89,25.525717
7450.0,90,25.818968
6240.0,90,26.048524
8615.0,90,26.288742
4135.0,90,26.52585
6510.0,90,26.789381
5690.0,90,27.063406
5290.0,90,27.307453
2540.0,90,27.605892
6525.0,90,27.916291
1825.0,90,28.281253
4640.0,90,28.516882
4980.0,90,28.776037
4335.0,90,29.028739
6590.0,90,29.309004
5500.0,90,29.559726
9245.0,90,29.809657
8440.0,90,30.057233
6875.0,90,30.282634
6815.0,90,30.563935
2425.0,64,30.729334
5620.0,74,30.925953
6875.0,90,31.155275
6605.0,65,31.335076
9040.0,90,31.592384
6650.0,90,31.843642
9315.0,90,32.053252
4200.0,78,32.264532
7075.0,90,32.478546
7930.0,90,32.698448
8465.0,90,33.002229
9205.0,90,33.282778
6100.0,90,33.56346
8745.0,74,33.769473
5285.0,85,33.97211
3275.0,64,34.16542
7755.0,86,34.406395
7060.0,89,34.644442
8885.0,90,34.877091
7685.0,82,35.07412
10340.0,90,35.391671
6390.0,73,35.568676
5060.0,90,35.794766
3185.0,90,36.027294
4910.0,83,36.282109
8945.0,90,36.552413
6100.0,90,36.796371
3940.0,90,37.032313
4375.0,90,37.267543
5940.0,90,37.474171
8850.0,90,37.725865
6020.0,90,37.956907
7185.0,90,38.198357
10655.0,90,38.451362
7390.0,90,38.766501
7110.0,90,39.034794
5105.0,90,39.555322
7405.0,90,39.780526
8060.0,90,40.049092
2515.0,90,40.292399
4785.0,90,40.544544
6710.0,90,40.821053
8210.0,74,41.025723
6670.0,90,41.29783
4030.0,63,41.493877
3460.0,67,41.664787
4535.0,63,41.839751
6500.0,76,42.035421
3670.0,61,42.235285
4675.0,90,42.51085
6505.0,90,42.717481
7570.0,90,42.953287
4665.0,68,43.185537
3590.0,71,43.376992
5450.0,90,43.638508
1960.0,90,43.867206
7965.0,90,44.168582
8025.0,90,44.454969
7315.0,78,44.697293
-1340.0,90,44.982729
-1245.0,90,45.259251
10490.0,90,45.514207
5080.0,90,45.766247
4365.0,78,46.01142
8125.0,85,46.268703
4240.0,90,46.524078
8080.0,90,46.727326
